"Index","000001.SS.Open","000001.SS.High","000001.SS.Low","000001.SS.Close","000001.SS.Volume","000001.SS.Adjusted"
2000-02-18,1623.96,1668.16,1583.58,1668.09,0,1668.09
2000-02-21,1681.36,1697.01,1652.48,1677.14,0,1677.14
2000-02-22,1681.3,1687.51,1627.47,1632.29,0,1632.29
2000-02-23,1618.01,1630.55,1586.63,1594.93,0,1594.93
2000-02-24,1593.95,1634.32,1593.93,1634.31,0,1634.31
2000-02-25,1639.92,1650.37,1618.18,1631.58,0,1631.58
2000-02-28,1639.8,1704.88,1639.7,1704.86,0,1704.86
2000-02-29,1728.14,1733.14,1678.35,1714.58,0,1714.58
2000-03-01,1720.6,1721.14,1692.51,1697.74,0,1697.74
2000-03-02,1697.56,1721.6,1682.54,1713.01,0,1713.01
2000-03-03,1728.36,1750.65,1721.71,1738.02,0,1738.02
2000-03-06,1756.31,1762.83,1678.74,1681.09,0,1681.09
2000-03-07,1661.95,1694.89,1654.44,1694.8,0,1694.8
2000-03-08,1699.46,1726.04,1690.12,1726.03,0,1726.03
2000-03-09,1734.77,1741.22,1714.92,1732.35,0,1732.35
2000-03-10,1731.94,1743.14,1701.79,1705.05,0,1705.05
2000-03-13,1706.77,1729.01,1706.35,1728.88,0,1728.88
2000-03-14,1690.65,1700.37,1636.89,1685.35,0,1685.35
2000-03-15,1680.3,1695.16,1676.54,1681.47,0,1681.47
2000-03-16,1671.1,1671.18,1596.07,1607.53,0,1607.53
2000-03-17,1602.36,1661.98,1602.34,1658.6,0,1658.6
2000-03-20,1646.31,1699.28,1641.77,1699.25,0,1699.25
2000-03-21,1704.09,1713.21,1692.68,1710.32,0,1710.32
2000-03-22,1713.24,1726.59,1711.16,1720.45,0,1720.45
2000-03-23,1724.19,1747.28,1711.41,1747.24,0,1747.24
2000-03-24,1761.44,1770.26,1729.48,1730.5,0,1730.5
2000-03-27,1736.7,1776.02,1736.7,1775.91,0,1775.91
2000-03-28,1788.83,1799.95,1774.48,1791.44,0,1791.44
2000-03-29,1797.88,1803.83,1763.62,1788.81,0,1788.81
2000-03-30,1793.68,1811.06,1790.85,1810.98,0,1810.98
2000-03-31,1810.55,1810.9,1780.41,1800.23,0,1800.23
2000-04-03,1799.58,1816.86,1798.25,1801,0,1801
2000-04-04,1795.16,1795.16,1755.98,1760.69,0,1760.69
2000-04-05,1756.3,1776.72,1746.3,1771.2,0,1771.2
2000-04-06,1775.78,1809.17,1775.68,1809.14,0,1809.14
2000-04-07,1816.79,1822.62,1807.54,1819.9,0,1819.9
2000-04-10,1826.61,1831.85,1815.99,1826.06,0,1826.06
2000-04-11,1826.4,1828.06,1812.01,1821.17,0,1821.17
2000-04-12,1822.4,1823.83,1785.33,1807.33,0,1807.33
2000-04-13,1807.84,1832.08,1807.71,1831.55,0,1831.55
2000-04-14,1835.86,1840.19,1820.67,1833.67,0,1833.67
2000-04-17,1829.62,1829.93,1778.88,1795.06,0,1795.06
2000-04-18,1794.34,1813.57,1779.29,1813.5,0,1813.5
2000-04-19,1819.08,1831.57,1817.21,1828.71,0,1828.71
2000-04-20,1831.66,1847.51,1831.49,1847.03,0,1847.03
2000-04-21,1851.31,1858.27,1834.85,1841.06,0,1841.06
2000-04-24,1844.7,1848.97,1827.17,1837.4,0,1837.4
2000-04-25,1838.05,1841.86,1815.63,1833.47,0,1833.47
2000-04-26,1835.67,1842.89,1826.39,1832.78,0,1832.78
2000-04-27,1835.6,1840.57,1803.58,1806.83,0,1806.83
2000-04-28,1805.5,1836.33,1797.71,1836.32,0,1836.32
2000-05-01,1836.32,1836.32,1836.32,1836.32,0,1836.32
2000-05-02,1836.32,1836.32,1836.32,1836.32,0,1836.32
2000-05-03,1836.32,1836.32,1836.32,1836.32,0,1836.32
2000-05-04,1836.32,1836.32,1836.32,1836.32,0,1836.32
2000-05-05,1836.32,1836.32,1836.32,1836.32,0,1836.32
2000-05-08,1848.17,1852.9,1828.1,1836.64,0,1836.64
2000-05-09,1836.64,1836.64,1836.64,1836.64,0,1836.64
2000-05-10,1801.43,1801.64,1750.01,1752.69,0,1752.69
2000-05-11,1750.86,1762.13,1718.89,1724.05,0,1724.05
2000-05-12,1725.87,1740.95,1715.06,1720.61,0,1720.61
2000-05-15,1722.64,1726.72,1695.53,1704.59,0,1704.59
2000-05-16,1706.73,1725.9,1706.73,1724.54,0,1724.54
2000-05-17,1727.43,1736.27,1722.71,1725.4,0,1725.4
2000-05-18,1725.6,1758.54,1719.84,1758.54,0,1758.54
2000-05-19,1761.79,1777.98,1754.88,1777.83,0,1777.83
2000-05-22,1785.89,1830.93,1783.3,1824.74,0,1824.74
2000-05-23,1834.44,1836.99,1811.58,1832.08,0,1832.08
2000-05-24,1835.56,1861.48,1831.84,1855.49,0,1855.49
2000-05-25,1866.56,1880.72,1860.78,1880.7,0,1880.7
2000-05-26,1885.75,1890.69,1860.92,1879.62,0,1879.62
2000-05-29,1885.55,1900.67,1882.74,1898.75,0,1898.75
2000-05-30,1898.75,1898.75,1898.75,1898.75,0,1898.75
2000-05-31,1875.46,1894.58,1869.34,1894.55,0,1894.55
2000-06-01,1900.53,1906.82,1890,1903.49,0,1903.49
2000-06-02,1906.16,1916.25,1897.71,1916.25,0,1916.25
2000-06-05,1921.97,1930.34,1889.82,1899.09,0,1899.09
2000-06-06,1898.59,1925.55,1891.67,1925.54,0,1925.54
2000-06-07,1934.38,1940.22,1921.38,1935.03,0,1935.03
2000-06-08,1937.2,1938.55,1913.37,1925.21,0,1925.21
2000-06-09,1926.15,1929.95,1896.06,1900.79,0,1900.79
2000-06-12,1896.43,1912.59,1884.62,1912.56,0,1912.56
2000-06-13,1918.19,1938.67,1917.19,1938.67,0,1938.67
2000-06-14,1944.44,1949.17,1929.71,1932.29,0,1932.29
2000-06-15,1933.06,1942.33,1925.91,1942.29,0,1942.29
2000-06-16,1945.7,1947.46,1919.4,1926.94,0,1926.94
2000-06-19,1924.69,1926.98,1910.47,1915.21,0,1915.21
2000-06-20,1913.07,1913.07,1888.08,1895.35,0,1895.35
2000-06-21,1894.78,1913.15,1894.63,1913.13,0,1913.13
2000-06-22,1918.16,1921.15,1906.3,1913.9,0,1913.9
2000-06-23,1915.31,1939.63,1913.65,1939.63,0,1939.63
2000-06-26,1946.7,1953.34,1943.25,1948.64,0,1948.64
2000-06-27,1949.78,1952.46,1938.14,1942.9,0,1942.9
2000-06-28,1943.98,1953.06,1940.05,1947.48,0,1947.48
2000-06-29,1949.85,1951.13,1924.47,1937.26,0,1937.26
2000-06-30,1937.84,1941.4,1924.97,1928.11,0,1928.11
2000-07-03,1917.44,1917.45,1890.53,1895.64,0,1895.64
2000-07-04,1891.21,1907.94,1888.25,1907.93,0,1907.93
2000-07-05,1910.42,1918.91,1904.47,1909.19,0,1909.19
2000-07-06,1909.24,1910.05,1896.66,1902.55,0,1902.55
2000-07-07,1904.09,1932.83,1904.09,1932.79,0,1932.79
2000-07-10,1938.84,1948.06,1932.96,1948.02,0,1948.02
2000-07-11,1952.26,1960.6,1947.67,1960.54,0,1960.54
2000-07-12,1965.23,1974.41,1960.35,1973.37,0,1973.37
2000-07-13,1978.55,1984.07,1963.55,1979.2,0,1979.2
2000-07-14,1981.78,1987.22,1972.62,1987.19,0,1987.19
2000-07-17,1992.89,1997.94,1980.22,1982.48,0,1982.48
2000-07-18,1982.5,1993.99,1981.74,1993.99,0,1993.99
2000-07-19,2000.33,2004.46,1987.42,1998.43,0,1998.43
2000-07-20,1999.09,2003.8,1979.88,1991.56,0,1991.56
2000-07-21,1994.42,1998.35,1991.84,1996.34,0,1996.34
2000-07-24,1998.25,1999.9,1982.88,1989.24,0,1989.24
2000-07-25,1990.15,1997.85,1989.09,1996.58,0,1996.58
2000-07-26,1999.44,2012.4,1999.4,2012.32,0,2012.32
2000-07-27,2017.46,2025,2004.55,2012.35,0,2012.35
2000-07-28,2014.11,2016.94,2006.17,2012.79,0,2012.79
2000-07-31,2016.14,2023.57,2008.64,2023.54,0,2023.54
2000-08-01,2027.01,2031.93,2023.45,2028.15,0,2028.15
2000-08-02,2030.79,2033.19,2018.48,2030.68,0,2030.68
2000-08-03,2032.94,2038.65,2030.1,2036.3,0,2036.3
2000-08-04,2037.47,2041.28,2013.45,2026.36,0,2026.36
2000-08-07,2025.18,2039.42,2017.9,2039.42,0,2039.42
2000-08-08,2042.75,2050.07,2040.78,2049.92,0,2049.92
2000-08-09,2051.65,2061.28,2048.49,2061.18,0,2061.18
2000-08-10,2065.31,2067.75,2053.86,2065.94,0,2065.94
2000-08-11,2067.78,2070.3,2055.2,2062.67,0,2062.67
2000-08-14,2065.94,2076.33,2065.94,2076.3,0,2076.3
2000-08-15,2079.07,2082.74,2066.16,2076.82,0,2076.82
2000-08-16,2078.49,2083.47,2072.98,2083.47,0,2083.47
2000-08-17,2086.81,2092.33,2086.56,2091.59,0,2091.59
2000-08-18,2093.63,2097.32,2086.75,2090.18,0,2090.18
2000-08-21,2095.38,2108.88,2093.42,2108.69,0,2108.69
2000-08-22,2112.02,2114.52,2074.52,2074.7,0,2074.7
2000-08-23,2064.05,2080.14,1980.35,2057.92,0,2057.92
2000-08-24,2058.53,2073.95,2043.21,2071.16,0,2071.16
2000-08-25,2073.72,2086.72,2066.33,2086.7,0,2086.7
2000-08-28,2092.12,2100.7,2085.6,2100.59,0,2100.59
2000-08-29,2103.03,2105.63,2094.61,2105.48,0,2105.48
2000-08-30,2107.02,2108.1,2075.16,2076.14,0,2076.14
2000-08-31,2062.84,2064.76,2019.45,2021.2,0,2021.2
2000-09-01,2009.15,2026.35,1997.72,1999.86,0,1999.86
2000-09-04,1994.89,2010.6,1981.23,2010.6,0,2010.6
2000-09-05,2015.06,2020.85,1959.59,1963.79,0,1963.79
2000-09-06,1955.5,1964.27,1923.6,1925.91,0,1925.91
2000-09-07,1929.3,1963.23,1929.3,1950.66,0,1950.66
2000-09-08,1955.15,1963.89,1945.92,1959.31,0,1959.31
2000-09-11,1963.27,1972.08,1956.08,1972.04,0,1972.04
2000-09-12,1975.41,1979.32,1965.4,1979.1,0,1979.1
2000-09-13,1980.53,1995.32,1975.13,1988.94,0,1988.94
2000-09-14,1989.97,1992.37,1973.02,1979.51,0,1979.51
2000-09-15,1978.04,1978.47,1966.88,1978.43,0,1978.43
2000-09-18,1979.53,1981.13,1946.18,1946.75,0,1946.75
2000-09-19,1937.32,1937.37,1895.49,1903.15,0,1903.15
2000-09-20,1902.91,1922.3,1892.28,1922.29,0,1922.29
2000-09-21,1924.83,1927.52,1905.65,1907.31,0,1907.31
2000-09-22,1904.57,1904.57,1888.09,1891.98,0,1891.98
2000-09-25,1889.9,1896.72,1874.21,1875.91,0,1875.91
2000-09-26,1878.31,1890.67,1878.05,1887.83,0,1887.83
2000-09-27,1889.88,1914.11,1889.87,1914.09,0,1914.09
2000-09-28,1915.5,1917.06,1886.94,1889.29,0,1889.29
2000-09-29,1888.2,1910.49,1888.07,1910.16,0,1910.16
2000-10-02,1910.16,1910.16,1910.16,1910.16,0,1910.16
2000-10-03,1910.16,1910.16,1910.16,1910.16,0,1910.16
2000-10-04,1910.16,1910.16,1910.16,1910.16,0,1910.16
2000-10-05,1910.16,1910.16,1910.16,1910.16,0,1910.16
2000-10-06,1910.16,1910.16,1910.16,1910.16,0,1910.16
2000-10-09,1912.08,1915.5,1897.24,1915.35,0,1915.35
2000-10-10,1917.9,1942.17,1917.68,1942.15,0,1942.15
2000-10-11,1944.25,1948.01,1931.46,1933.73,0,1933.73
2000-10-12,1933.14,1933.33,1918.47,1926.32,0,1926.32
2000-10-13,1927.35,1932.32,1911.36,1918.16,0,1918.16
2000-10-16,1917.45,1917.56,1897.91,1902.81,0,1902.81
2000-10-17,1902.07,1909.49,1896.95,1909.49,0,1909.49
2000-10-18,1911.71,1922.85,1911.71,1922.85,0,1922.85
2000-10-19,1925.21,1927.37,1911.18,1913.42,0,1913.42
2000-10-20,1913.16,1947.47,1912.38,1947.46,0,1947.46
2000-10-23,1952.96,1960.86,1945.67,1958.94,0,1958.94
2000-10-24,1960.37,1962.13,1945.53,1956.34,0,1956.34
2000-10-25,1957.38,1978.99,1957.31,1977.25,0,1977.25
2000-10-26,1979.3,1980.63,1962.2,1967.67,0,1967.67
2000-10-27,1968.17,1971.79,1957.74,1967.41,0,1967.41
2000-10-30,1967.65,1974.24,1962.81,1973.58,0,1973.58
2000-10-31,1974.53,1979.99,1956.42,1961.29,0,1961.29
2000-11-01,1961.08,1977.37,1959.72,1977.36,0,1977.36
2000-11-02,1981.77,1992.86,1980.89,1984.26,0,1984.26
2000-11-03,1984.99,1989.11,1977.21,1981.63,0,1981.63
2000-11-06,1983.07,1992.88,1982.75,1991.17,0,1991.17
2000-11-07,1993.45,1997.08,1990.06,1997.08,0,1997.08
2000-11-08,1999.15,2012.99,1998.35,2012.91,0,2012.91
2000-11-09,2016.22,2032.52,2014.84,2032.48,0,2032.48
2000-11-10,2037.08,2051.34,2033.63,2047.46,0,2047.46
2000-11-13,2054.48,2071.69,2053.44,2070.79,0,2070.79
2000-11-14,2072.79,2085.12,2055.21,2085.12,0,2085.12
2000-11-15,2087.28,2092.65,2074.38,2081.91,0,2081.91
2000-11-16,2081.14,2096.05,2080.61,2095.98,0,2095.98
2000-11-17,2098.89,2104.7,2084.9,2093.24,0,2093.24
2000-11-20,2092.59,2101.4,2078.28,2101.39,0,2101.39
2000-11-21,2104.07,2112.91,2095.58,2097.98,0,2097.98
2000-11-22,2097.28,2113.35,2091.62,2113.3,0,2113.3
2000-11-23,2119.16,2125.72,2109.22,2119.44,0,2119.44
2000-11-24,2119.01,2125.41,2045.51,2053.37,0,2053.37
2000-11-27,2041.16,2062.81,2031.93,2049.67,0,2049.67
2000-11-28,2052.78,2079.48,2052.78,2079.4,0,2079.4
2000-11-29,2081.5,2082.9,2055.94,2067.5,0,2067.5
2000-11-30,2067.07,2072.29,2057.04,2070.61,0,2070.61
2000-12-01,2073.09,2082.03,2071.5,2081.84,0,2081.84
2000-12-04,2084.48,2092.32,2077.81,2092.14,0,2092.14
2000-12-05,2094.99,2097.29,2085.8,2091.67,0,2091.67
2000-12-06,2093,2095.44,2070.35,2075.63,0,2075.63
2000-12-07,2072.53,2078.14,2060.73,2075.04,0,2075.04
2000-12-08,2074.57,2083.27,2069.66,2073.16,0,2073.16
2000-12-11,2072.28,2072.48,2039,2046.08,0,2046.08
2000-12-12,2045.17,2059.05,2037.9,2059.05,0,2059.05
2000-12-13,2057.38,2059.6,2050.18,2056.12,0,2056.12
2000-12-14,2057,2059.27,2046.94,2051.08,0,2051.08
2000-12-15,2052.79,2055.61,2036.88,2039.36,0,2039.36
2000-12-18,2038.45,2044.56,2024.29,2044.55,0,2044.55
2000-12-19,2047.35,2056.76,2046.03,2049.03,0,2049.03
2000-12-20,2050.07,2071.31,2048.64,2071.27,0,2071.27
2000-12-21,2075.56,2086.94,2074.34,2076.89,0,2076.89
2000-12-22,2078.43,2079.97,2066.22,2069.77,0,2069.77
2000-12-25,2071.57,2075.21,2062.04,2068.17,0,2068.17
2000-12-26,2070.38,2076.41,2068.81,2076.27,0,2076.27
2000-12-27,2077.72,2079.76,2056,2058.24,0,2058.24
2000-12-28,2054.52,2061.05,2047.74,2053.7,0,2053.7
2000-12-29,2055.83,2073.88,2055.51,2073.48,0,2073.48
2001-01-01,2073.48,2073.48,2073.48,2073.48,0,2073.48
2001-01-02,2077.08,2103.54,2074.88,2103.47,0,2103.47
2001-01-03,2108.25,2123.9,2105.5,2123.9,0,2123.9
2001-01-04,2125.49,2127.42,2113.18,2117.41,0,2117.41
2001-01-05,2117.66,2125.38,2114.06,2125.3,0,2125.3
2001-01-08,2128.6,2131.98,2092.1,2102.06,0,2102.06
2001-01-09,2099.32,2111.1,2082.84,2101.14,0,2101.14
2001-01-10,2102.09,2125.67,2102.07,2125.62,0,2125.62
2001-01-11,2129.61,2131.37,2117.03,2119.14,0,2119.14
2001-01-12,2116.85,2117.73,2100.27,2104.75,0,2104.75
2001-01-15,2097.09,2097.09,2030.29,2032.44,0,2032.44
2001-01-16,2018.3,2045.95,2007.71,2045.89,0,2045.89
2001-01-17,2046.38,2048.7,2031.76,2034.58,0,2034.58
2001-01-18,2033.69,2049.36,2033.58,2043.11,0,2043.11
2001-01-19,2046.58,2067.88,2046.54,2065.61,0,2065.61
2001-01-22,2065.61,2065.61,2065.61,2065.61,0,2065.61
2001-01-23,2065.61,2065.61,2065.61,2065.61,0,2065.61
2001-01-24,2065.61,2065.61,2065.61,2065.61,0,2065.61
2001-01-25,2065.61,2065.61,2065.61,2065.61,0,2065.61
2001-01-26,2065.61,2065.61,2065.61,2065.61,0,2065.61
2001-01-29,2065.61,2065.61,2065.61,2065.61,0,2065.61
2001-01-30,2065.61,2065.61,2065.61,2065.61,0,2065.61
2001-01-31,2065.61,2065.61,2065.61,2065.61,0,2065.61
2001-02-01,2065.61,2065.61,2065.61,2065.61,0,2065.61
2001-02-02,2065.61,2065.61,2065.61,2065.61,0,2065.61
2001-02-05,2069.86,2072.55,2005.68,2008.03,0,2008.03
2001-02-06,1999.72,1999.73,1956.18,1995.32,0,1995.32
2001-02-07,1995.6,1998.25,1978.6,1979.94,0,1979.94
2001-02-08,1977.56,1986.9,1926.4,1930.14,0,1930.14
2001-02-09,1935.19,1963.33,1935.19,1956.97,0,1956.97
2001-02-12,1958.66,1961.81,1935.59,1961.22,0,1961.22
2001-02-13,1962.53,1974,1958.99,1963.53,0,1963.53
2001-02-14,1962.74,1966.84,1956.42,1963.2,0,1963.2
2001-02-15,1963.45,1966.92,1944.56,1946.48,0,1946.48
2001-02-16,1942.05,1942.12,1911.87,1941.96,0,1941.96
2001-02-19,1942.58,1969.35,1935.65,1967.55,0,1967.55
2001-02-20,1969.78,1980.39,1947.26,1953.22,0,1953.22
2001-02-21,1948.42,1948.42,1901.21,1909.33,0,1909.33
2001-02-22,1901.99,1922.46,1893.78,1907.26,0,1907.26
2001-02-23,1906.91,1936.63,1906.55,1936.35,0,1936.35
2001-02-26,1940.77,1954.78,1935.55,1954.69,0,1954.69
2001-02-27,1956.27,1962.28,1946.98,1962.04,0,1962.04
2001-02-28,1964.36,1965.02,1950.93,1959.18,0,1959.18
2001-03-01,1959.01,1968.36,1953.72,1965.12,0,1965.12
2001-03-02,1969.06,1987.39,1968.96,1985.11,0,1985.11
2001-03-05,1991.28,1993.81,1979.65,1984.2,0,1984.2
2001-03-06,1986.73,1990.06,1977.11,1990.06,0,1990.06
2001-03-07,1991.28,1996.85,1986.04,1991.18,0,1991.18
2001-03-08,1990.64,2002.25,1989.87,2000.9,0,2000.9
2001-03-09,2003.21,2015.5,1999.48,2011.66,0,2011.66
2001-03-12,2013.31,2015.6,2004.96,2012.55,0,2012.55
2001-03-13,2012.16,2012.77,1992.17,1998.7,0,1998.7
2001-03-14,1996.15,2018.62,1994.94,2018.62,0,2018.62
2001-03-15,2019.73,2027.33,2017.59,2022.6,0,2022.6
2001-03-16,2023.03,2024.28,2011.99,2020.24,0,2020.24
2001-03-19,2019.85,2036.63,2017.49,2036.62,0,2036.62
2001-03-20,2039.55,2045.94,2037.17,2045.79,0,2045.79
2001-03-21,2047.63,2066.39,2046.43,2066.39,0,2066.39
2001-03-22,2071.2,2087.53,2068.14,2087.53,0,2087.53
2001-03-23,2091.18,2093.95,2052.56,2053.54,0,2053.54
2001-03-26,2052.06,2089.99,2052.06,2089.88,0,2089.88
2001-03-27,2096.5,2107.3,2090.9,2107.26,0,2107.26
2001-03-28,2109.76,2112.88,2096.92,2106.87,0,2106.87
2001-03-29,2107.22,2111.73,2096.93,2101.66,0,2101.66
2001-03-30,2101.1,2112.83,2096.28,2112.78,0,2112.78
2001-04-02,2117.45,2126.97,2114.78,2125.08,0,2125.08
2001-04-03,2127.78,2129.83,2109.25,2123.05,0,2123.05
2001-04-04,2123.89,2128.16,2084.93,2090.72,0,2090.72
2001-04-05,2084.81,2112.62,2081.64,2112.6,0,2112.6
2001-04-06,2116.38,2122.22,2103.26,2108.61,0,2108.61
2001-04-09,2108.97,2117.41,2100.97,2117.37,0,2117.37
2001-04-10,2119.54,2128.55,2119.36,2128.48,0,2128.48
2001-04-11,2130.9,2134.51,2121.16,2131.4,0,2131.4
2001-04-12,2132.81,2141.92,2124.82,2134.8,0,2134.8
2001-04-13,2135.67,2145.44,2130.59,2145.4,0,2145.4
2001-04-16,2150.29,2168.08,2150.29,2168.06,0,2168.06
2001-04-17,2173.3,2177.16,2163.19,2176.68,0,2176.68
2001-04-18,2177.99,2179.74,2167.59,2172.56,0,2172.56
2001-04-19,2172.43,2175.58,2148.31,2172.87,0,2172.87
2001-04-20,2173.96,2179.57,2152.01,2152.34,0,2152.34
2001-04-23,2150.34,2157.51,2132.55,2150.43,0,2150.43
2001-04-24,2151.34,2166.19,2151.34,2166.17,0,2166.17
2001-04-25,2168.05,2170.39,2115.26,2119.18,0,2119.18
2001-04-26,2113.39,2125.79,2102.83,2105.06,0,2105.06
2001-04-27,2104.03,2120.84,2104.03,2115.11,0,2115.11
2001-04-30,2117.17,2122.5,2111.95,2119.18,0,2119.18
2001-05-01,2119.18,2119.18,2119.18,2119.18,0,2119.18
2001-05-02,2119.18,2119.18,2119.18,2119.18,0,2119.18
2001-05-03,2119.18,2119.18,2119.18,2119.18,0,2119.18
2001-05-04,2119.18,2119.18,2119.18,2119.18,0,2119.18
2001-05-07,2119.18,2119.18,2119.18,2119.18,0,2119.18
2001-05-08,2119.9,2138.04,2119.89,2137.99,0,2137.99
2001-05-09,2140.55,2142.38,2127.32,2132.89,0,2132.89
2001-05-10,2134.19,2147.34,2134.19,2147.28,0,2147.28
2001-05-11,2150.32,2155.42,2144.76,2155.41,0,2155.41
2001-05-14,2161.61,2178.7,2160.12,2178.47,0,2178.47
2001-05-15,2184.79,2191.07,2176.79,2191.06,0,2191.06
2001-05-16,2195.37,2199.54,2187.41,2199.51,0,2199.51
2001-05-17,2201.98,2205.01,2187.84,2194.65,0,2194.65
2001-05-18,2194.62,2203.37,2186.65,2203.37,0,2203.37
2001-05-21,2207.78,2213.75,2202.74,2213.6,0,2213.6
2001-05-22,2215.78,2218.45,2205.25,2210.34,0,2210.34
2001-05-23,2210.85,2213.4,2175.28,2197.6,0,2197.6
2001-05-24,2198.01,2202.84,2192.17,2198.3,0,2198.3
2001-05-25,2199.66,2204.24,2181.25,2193.58,0,2193.58
2001-05-28,2194.45,2194.83,2171.68,2179.7,0,2179.7
2001-05-29,2177.65,2188.76,2176.56,2180.28,0,2180.28
2001-05-30,2180.62,2211.21,2180.53,2211.2,0,2211.2
2001-05-31,2217.87,2222.65,2208.88,2214.26,0,2214.26
2001-06-01,2216.56,2223.26,2212.16,2219.59,0,2219.59
2001-06-04,2223.91,2229.06,2222.23,2226.78,0,2226.78
2001-06-05,2229.25,2235.5,2226.82,2234.99,0,2234.99
2001-06-06,2237.99,2241.09,2224.3,2238.5,0,2238.5
2001-06-07,2241.01,2242.69,2223.41,2229.81,0,2229.81
2001-06-08,2229.21,2229.41,2211.75,2223.07,0,2223.07
2001-06-11,2223.8,2226.61,2206.64,2214.62,0,2214.62
2001-06-12,2213.55,2223.3,2211.86,2222.96,0,2222.96
2001-06-13,2227.07,2242.42,2226.88,2242.42,0,2242.42
2001-06-14,2243.3,2245.44,2201.01,2202.4,0,2202.4
2001-06-15,2196.69,2212.09,2188.25,2210.97,0,2210.97
2001-06-18,2211.89,2214.11,2157.12,2167.65,0,2167.65
2001-06-19,2163.32,2174.21,2158.76,2170.45,0,2170.45
2001-06-20,2171.01,2180.73,2157.4,2163.12,0,2163.12
2001-06-21,2164.12,2189.23,2164.09,2189.15,0,2189.15
2001-06-22,2191.36,2206.51,2188.94,2206.07,0,2206.07
2001-06-25,2210.07,2230.22,2210.04,2230.2,0,2230.2
2001-06-26,2234.07,2236.78,2223.5,2233.59,0,2233.59
2001-06-27,2234.71,2237.52,2223.81,2229.83,0,2229.83
2001-06-28,2231.37,2237.49,2213.58,2219.25,0,2219.25
2001-06-29,2218.57,2225.35,2214.16,2218.03,0,2218.03
2001-07-02,2220.42,2223.21,2201.59,2205.99,0,2205.99
2001-07-03,2206.85,2211.86,2191.68,2211.83,0,2211.83
2001-07-04,2212.97,2216.22,2199.63,2202.06,0,2202.06
2001-07-05,2202.3,2204.26,2176.75,2181.66,0,2181.66
2001-07-06,2179.81,2187.24,2168.78,2170.52,0,2170.52
2001-07-09,2169.47,2175.17,2164.01,2169.66,0,2169.66
2001-07-10,2172.61,2189.8,2172.59,2189.79,0,2189.79
2001-07-11,2190.98,2192.52,2167.67,2168.74,0,2168.74
2001-07-12,2164.92,2168.4,2153.68,2165.49,0,2165.49
2001-07-13,2167.7,2178.02,2158.85,2161.34,0,2161.34
2001-07-16,2176.34,2183.52,2142.08,2146.24,0,2146.24
2001-07-17,2145.49,2146.03,2121.28,2140.98,0,2140.98
2001-07-18,2142.01,2147.84,2137.41,2146.54,0,2146.54
2001-07-19,2146.52,2150.27,2135.24,2150.27,0,2150.27
2001-07-20,2153.24,2179.77,2153.14,2179.62,0,2179.62
2001-07-23,2183.74,2185.86,2166.33,2169.01,0,2169.01
2001-07-24,2162.75,2162.75,2129.18,2136.45,0,2136.45
2001-07-25,2130.45,2140.5,2108.76,2112.26,0,2112.26
2001-07-26,2109.92,2116.56,2086.08,2094.01,0,2094.01
2001-07-27,2093.87,2101.15,2063.89,2065.73,0,2065.73
2001-07-30,2056.76,2056.77,1955.97,1956.82,0,1956.82
2001-07-31,1939.26,1978.1,1909.3,1920.32,0,1920.32
